Zip Code,1 year CAGR,2 year CAGR,3 year CAGR,1 year returns,2 year returns,3 year returns,max 12 month loss,risk 12 month loss,CREATED,
1001,0.0301,0.0273,0.0244,0.0301,0.0553,0.075,-0.082615,0.119625,2018-06-12 17:26:50,
1002,0.0618,0.0578,0.0531,0.0618,0.119,0.1679,-0.072026,0.044348,2018-10-30 14:28:51,90
1003,,,,,,,,,2018-06-12 17:26:50,1156
1004,,,,,,,,,2018-06-12 17:26:50,1156
1005,0.0546,0.0473,0.0405,0.0546,0.0969,0.1263,-0.068182,0.057325,2018-06-12 17:26:50,
1007,0.038,0.0343,0.0311,0.038,0.0698,0.0963,-0.074824,0.085656,2018-06-12 17:26:50,
1008,0.0406,0.0379,0.0355,0.0406,0.0773,0.1103,-0.060126,0.06945,2018-06-12 17:26:50,
1009,,,,,,,,,2018-06-12 17:26:50,
1010,0.0407,0.036,0.0321,0.0407,0.0734,0.0996,-0.09064,0.080913,2018-06-12 17:26:50,
1011,0.0358,0.033,0.0302,0.0358,0.0671,0.0933,-0.075186,0.093092,2018-06-12 17:26:50,
1012,,,,,,,,,2018-06-12 17:26:50,
1013,0.0376,0.0337,0.0304,0.0376,0.0685,0.0939,-0.074854,0.089865,2018-06-12 17:26:50,
1020,0.0462,0.043,0.039,0.0462,0.0878,0.1215,-0.076079,0.073571,2018-11-01 13:38:20,
1022,0.0339,0.0306,0.0272,0.0339,0.0621,0.0837,-0.09799,0.102206,2018-06-12 17:26:50,
1026,0.0401,0.0364,0.0333,0.0401,0.0742,0.1032,-0.071999,0.078616,2018-06-12 17:26:50,
1027,0.0393,0.0364,0.0337,0.0393,0.0741,0.1046,-0.066202,0.076173,2018-06-12 17:26:50,
1028,0.0334,0.0297,0.0266,0.0334,0.0604,0.0819,-0.078838,0.103969,2018-06-12 17:26:50,
1029,,,,,,,,,2018-06-12 17:26:50,
1030,0.035,0.0315,0.0285,0.035,0.0641,0.088,-0.072279,0.096637,2018-06-12 17:26:50,
1031,0.054,0.0489,0.0438,0.054,0.1001,0.1371,-0.040157,0.053979,2018-06-12 17:26:50,
1032,,,,,,,,,2018-06-12 17:27:15,
1033,0.0343,0.0304,0.0274,0.0343,0.0618,0.0845,-0.07146,0.101618,2018-06-12 17:27:15,
1034,0.0384,0.0343,0.0307,0.0384,0.0697,0.095,-0.08715,0.085002,2018-06-12 17:27:15,
1035,0.0441,0.0409,0.038,0.0441,0.0835,0.1184,-0.068796,0.059617,2018-06-12 17:27:15,
1036,0.033,0.0299,0.0271,0.033,0.0608,0.0835,-0.079115,0.099411,2018-06-12 17:27:15,
1037,,,,,,,,,2018-06-12 17:27:15,
1038,0.0364,0.0337,0.0313,0.0364,0.0686,0.0968,-0.060685,0.085916,2018-06-12 17:27:15,
